Step,Information:,X=2p,Run:,1/20
1.00000000000000e-001,5.35665502082264e+003,-5.90206341242774e+002,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e-001,5.31778356648154e+003,-7.37399980780000e+002,2.00000000000000e-012,0.00000000000000e+000
1.58489319246111e-001,5.25736789887574e+003,-9.17323748210403e+002,2.00000000000000e-012,0.00000000000000e+000
1.99526231496888e-001,5.16449625451153e+003,-1.13353945437431e+003,2.00000000000000e-012,0.00000000000000e+000
2.51188643150958e-001,5.02412364166454e+003,-1.38650623298463e+003,2.00000000000000e-012,0.00000000000000e+000
3.16227766016838e-001,4.81727942097359e+003,-1.67031181970663e+003,2.00000000000000e-012,0.00000000000000e+000
3.98107170553497e-001,4.52362574859254e+003,-1.96840166112517e+003,2.00000000000000e-012,0.00000000000000e+000
5.01187233627272e-001,4.12803331124644e+003,-2.25014167110826e+003,2.00000000000000e-012,0.00000000000000e+000
6.30957344480193e-001,3.63116111213082e+003,-2.47235065229834e+003,2.00000000000000e-012,0.00000000000000e+000
7.94328234724282e-001,3.05919629173787e+003,-2.59020352484805e+003,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+000,2.46329412113235e+003,-2.57581565044516e+003,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+000,1.90361435865315e+003,-2.43274752017262e+003,2.00000000000000e-012,0.00000000000000e+000
1.58489319246111e+000,1.42688520662674e+003,-2.19403992647869e+003,2.00000000000000e-012,0.00000000000000e+000
1.99526231496888e+000,1.05345925496714e+003,-1.90557518726624e+003,2.00000000000000e-012,0.00000000000000e+000
2.51188643150958e+000,7.79698885075944e+002,-1.60843934932825e+003,2.00000000000000e-012,0.00000000000000e+000
3.16227766016838e+000,5.88597794188111e+002,-1.33017658113308e+003,2.00000000000000e-012,0.00000000000000e+000
3.98107170553498e+000,4.59714546994383e+002,-1.08473370827036e+003,2.00000000000000e-012,0.00000000000000e+000
5.01187233627273e+000,3.74799530640208e+002,-8.76342350400821e+002,2.00000000000000e-012,0.00000000000000e+000
6.30957344480194e+000,3.19710940850316e+002,-7.03660317000502e+002,2.00000000000000e-012,0.00000000000000e+000
7.94328234724282e+000,2.84329690418976e+002,-5.62764170952236e+002,2.00000000000000e-012,0.00000000000000e+000
1.00000000000000e+001,2.61752214986150e+002,-4.48923418881884e+002,2.00000000000000e-012,0.00000000000000e+000
1.25892541179417e+001,2.47404531906654e+002,-3.57508405956100e+002,2.00000000000000e-012,0.00000000000000e+000
1.58489319246112e+001,2.38310770935332e+002,-2.84383080693714e+002,2.00000000000000e-012,0.00000000000000e+000
1.99526231496888e+001,2.32556729162910e+002,-2.26024711056081e+002,2.00000000000000e-012,0.00000000000000e+000
2.51188643150958e+001,2.28919900799405e+002,-1.79513119081724e+002,2.00000000000000e-012,0.00000000000000e+000
